
="",="(-1.60)",="(-1.60)",="(-1.60)",="(-1.60)"

="L10D.ln_us_epr",="-0.243*",="-0.243*",="-0.243*",="-0.243*"
="",="(-2.17)",="(-2.17)",="(-2.17)",="(-2.17)"

="L11D.ln_us_epr",="0.125",="0.125",="0.125",="0.125"
="",="(0.93)",="(0.93)",="(0.93)",="(0.93)"

="L12D.ln_us_epr",="-0.0988",="-0.0988",="-0.0988",="-0.0988"
="",="(-0.74)",="(-0.74)",="(-0.74)",="(-0.74)"

="4.month",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="5.month",="-0.00158",="-0.00158",="-0.00158",="-0.00158"
="",="(-1.41)",="(-1.41)",="(-1.41)",="(-1.41)"

="6.month",="0.000785",="0.000785",="0.000785",="0.000785"
="",="(0.85)",="(0.85)",="(0.85)",="(0.85)"

="7.month",="-0.000504",="-0.000504",="-0.000504",="-0.000504"
="",="(-0.48)",="(-0.48)",="(-0.48)",="(-0.48)"

="8.month",="-0.000851",="-0.000851",="-0.000851",="-0.000851"
="",="(-0.38)",="(-0.38)",="(-0.38)",="(-0.38)"

="9.month",="0.000291",="0.000291",="0.000291",="0.000291"
="",="(0.25)",="(0.25)",="(0.25)",="(0.25)"

="10.month",="0.000372",="0.000372",="0.000372",="0.000372"
="",="(0.38)",="(0.38)",="(0.38)",="(0.38)"

="11.month",="-0.000567",="-0.000567",="-0.000567",="-0.000567"
="",="(-0.76)",="(-0.76)",="(-0.76)",="(-0.76)"

="12.month",="-0.000287",="-0.000287",="-0.000287",="-0.000287"
="",="(-0.40)",="(-0.40)",="(-0.40)",="(-0.40)"

="_cons",="0.000549",="0.000549",="0.000549",="0.000549"
="",="(0.48)",="(0.48)",="(0.48)",="(0.48)"

="N",="263",="263",="263",="263"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
